datetime,a_norm,a_norm_filt,ENMO,ENMO_cum_gmin
2025-10-24 16:51:03.980,3.452347197469426,5.39708447609041,4.39708447609041,0.000732847412681735
2025-10-24 16:51:03.990,5.017231051274697,6.242058677084251,5.242058677084251,0.0016065238588624437
2025-10-24 16:51:04.000,7.721675179527108,6.812378148614981,5.812378148614981,0.0025752535502982735
2025-10-24 16:51:04.010,8.776981280065772,8.063670654655358,7.063670654655358,0.003752531992740833
2025-10-24 16:51:04.019,9.093656034737899,8.808094241646483,7.808094241646483,0.005053881033015247
2025-10-24 16:51:04.029,9.708809727671307,8.654970458570768,7.654970458570768,0.006329709442777041
2025-10-24 16:51:04.039,8.739348986230324,8.001357203538294,7.001357203538294,0.007496602310033423
2025-10-24 16:51:04.050,6.95605626414853,6.978157953051297,5.978157953051297,0.008492961968875307
2025-10-24 16:51:04.059,5.5089150049034155,5.6119477129484405,4.6119477129484405,0.00926161992103338
2025-10-24 16:51:04.069,3.9776597823029056,4.330781783267238,3.3307817832672377,0.009816750218244585
2025-10-24 16:51:04.079,2.87775852715703,3.401605769894437,2.401605769894437,0.010217017846560324
2025-10-24 16:51:04.090,2.333519337824309,2.9420311779407617,1.9420311779407617,0.01054068970955045
2025-10-24 16:51:04.100,2.3101761972845276,2.911269152161951,1.911269152161951,0.01085923456824411
2025-10-24 16:51:04.110,3.211042045135037,3.3743745574990607,2.3743745574990607,0.01125496366116062
2025-10-24 16:51:04.119,3.8238496534088524,3.9866468032587705,2.9866468032587705,0.011752738128370415
2025-10-24 16:51:04.130,5.193285553842577,4.862421837392631,3.862421837392631,0.012396475101269186
2025-10-24 16:51:04.140,5.394880566622861,5.464116528239162,4.464116528239162,0.01314049452264238
2025-10-24 16:51:04.150,6.689051367953829,5.806796511774735,4.806796511774735,0.013941627274604835
2025-10-24 16:51:04.159,6.219515499367696,7.030883258720786,6.030883258720786,0.014946774484391634
2025-10-24 16:51:04.170,5.537249571086714,8.034015639507412,7.0340156395074125,0.016119110424309534
2025-10-24 16:51:04.180,11.313719288572834,8.386622404882178,7.3866224048821785,0.017350214158456563
2025-10-24 16:51:04.190,10.410542470555988,8.174773915361213,7.174773915361213,0.018546009811016766
2025-10-24 16:51:04.199,8.452085194827665,8.185790271030896,7.185790271030896,0.019743641522855248
2025-10-24 16:51:04.210,5.160273051762862,6.861015046187387,5.861015046187387,0.02072047736388648
2025-10-24 16:51:04.220,5.592331349435135,5.318953208046764,4.318953208046764,0.02144030289856094
2025-10-24 16:51:04.230,4.689843164355286,4.233609124393232,3.233609124393232,0.02197923775262648
2025-10-24 16:51:04.239,2.7002332798528723,3.8716757717246706,2.8716757717246706,0.022457850381247257
2025-10-24 16:51:04.250,3.0253647765600102,3.3178062882702273,2.3178062882702273,0.022844151429292296
2025-10-24 16:51:04.260,3.3506062884200527,2.8719929122795578,1.8719929122795578,0.023156150248005554
2025-10-24 16:51:04.269,2.822983932162916,2.6208017565162667,1.6208017565162667,0.0234262838740916
2025-10-24 16:51:04.279,2.4607762844019363,2.218492903673119,1.218492903673119,0.023629366024703786
2025-10-24 16:51:04.289,1.444277501036418,1.7690108098404065,0.7690108098404065,0.02375753449301052
2025-10-24 16:51:04.300,1.013820512344271,1.5027492480293887,0.5027492480293887,0.023841326034348752
2025-10-24 16:51:04.309,1.1031958192564908,1.5568257557187672,0.5568257557187672,0.023934130326968547
2025-10-24 16:51:04.319,1.491676123107828,1.983356405608059,0.983356405608059,0.024098023061236554
2025-10-24 16:51:04.329,2.731158822848829,2.414720949886062,1.4147209498860618,0.024333809886217566
2025-10-24 16:51:04.340,3.576930750482877,3.8531801622243735,2.8531801622243735,0.02480933991325496
2025-10-24 16:51:04.350,3.1706432337342845,4.71183372185052,3.71183372185052,0.025427978866896715
2025-10-24 16:51:04.360,8.295491880948049,5.085833543282344,4.085833543282344,0.026108951124110436
2025-10-24 16:51:04.369,5.784943921238563,5.0122070590654495,4.0122070590654495,0.026777652300621343
2025-10-24 16:51:04.380,4.601157930007945,4.988062082694284,3.9880620826942836,0.027442329314403723
2025-10-24 16:51:04.390,3.2087983293984057,4.286066063556938,3.2860660635569383,0.027990006991663215
2025-10-24 16:51:04.400,3.0499183518784565,4.299451318078456,3.2994513180784564,0.02853991554467629
2025-10-24 16:51:04.409,4.785511785261321,4.389914496211915,3.389914496211915,0.02910490129404494
2025-10-24 16:51:04.420,5.851870193846152,4.6102188052639095,3.6102188052639095,0.029706604428255592
2025-10-24 16:51:04.430,5.053473820675239,4.69522979538929,3.69522979538929,0.030322476060820478
2025-10-24 16:51:04.440,4.310319874658377,4.30704911572329,3.3070491157232897,0.030873650913441023
2025-10-24 16:51:04.449,3.474973302505359,3.742183644193202,2.742183644193202,0.03133068152080656
2025-10-24 16:51:04.460,2.844608386931319,3.601395933282807,2.601395933282807,0.031764247509687024
2025-10-24 16:51:04.470,3.027542836195716,3.8834447764879627,2.8834447764879627,0.03224482163910169
2025-10-24 16:51:04.480,4.349535266123267,5.004561819255718,4.004561819255718,0.032912248608977644
2025-10-24 16:51:04.489,5.720564090684152,6.184816845528921,5.184816845528921,0.03377638474989913
2025-10-24 16:51:04.500,9.080558516344135,6.897006318434029,5.897006318434029,0.0347592191363048
2025-10-24 16:51:04.510,8.745883518297337,7.0660384026231124,6.0660384026231124,0.035770225536741994
2025-10-24 16:51:04.520,6.588490200721255,6.7527114041323575,5.7527114041323575,0.03672901077076405
2025-10-24 16:51:04.529,5.194695687068685,5.5768358633457815,4.5768358633457815,0.03749181674798834
