datetime,a_norm,a_norm_filt
1970-01-01 00:00:00.000000000,1.4338305339195423,1.4436645219801976
1970-01-01 00:00:00.000000000,1.4338305339195423,1.4548614455426483
1970-01-01 00:00:00.000000000,1.4633324981015081,1.461802499539123
1970-01-01 00:00:00.000000000,1.4884522162300005,1.467253366937071
1970-01-01 00:00:00.000000000,1.4895667155250214,1.4633419931876304
1970-01-01 00:00:00.000000000,1.461084870909284,1.443943420701122
1970-01-01 00:00:00.000000000,1.4142736651723384,1.4195209045889148
1970-01-01 00:00:00.000000000,1.366339635668965,1.394774836244267
1970-01-01 00:00:00.000000000,1.366339635668965,1.3774982919740548
1970-01-01 00:00:00.000000000,1.3658363738017816,1.3711432515253112
1970-01-01 00:00:00.000000000,1.3747021495582235,1.376014570094098
1970-01-01 00:00:00.000000000,1.382498462928621,1.3826659170376716
1970-01-01 00:00:00.000000000,1.3906962285128985,1.3909350294059168
1970-01-01 00:00:00.000000000,1.3995963703868342,1.398974952169153
1970-01-01 00:00:00.000000000,1.407181935643007,1.4048567037330046
1970-01-01 00:00:00.000000000,1.4149017633744048,1.407571441445295
1970-01-01 00:00:00.000000000,1.4119072207478789,1.4085061507827978
1970-01-01 00:00:00.000000000,1.4042699170743493,1.4085394067775714
1970-01-01 00:00:00.000000000,1.4042699170743493,1.4064935660445306
1970-01-01 00:00:00.000000000,1.4073482156168742,1.4057056587526036
1970-01-01 00:00:00.000000000,1.4046725597092014,1.4079101851903788
1970-01-01 00:00:00.000000000,1.4079676842882438,1.4110643706721095
1970-01-01 00:00:00.000000000,1.4152925492632256,1.4156740871677047
1970-01-01 00:00:00.000000000,1.420040844483003,1.421647574417243
1970-01-01 00:00:00.000000000,1.4303967980948502,1.4273736505344137
1970-01-01 00:00:00.000000000,1.434539995956892,1.4259379380544244
1970-01-01 00:00:00.000000000,1.4365980648740968,1.4235525665304796
1970-01-01 00:00:00.000000000,1.4081139868632795,1.4168787186681677
1970-01-01 00:00:00.000000000,1.4081139868632795,1.4055588904856335
1970-01-01 00:00:00.000000000,1.3970275587832905,1.39129165343895
1970-01-01 00:00:00.000000000,1.3779408550442214,1.37932011232148
1970-01-01 00:00:00.000000000,1.365261879640679,1.3644380130059448
1970-01-01 00:00:00.000000000,1.34825628127593,1.3515557460141665
1970-01-01 00:00:00.000000000,1.333703490285603,1.3393046973409322
1970-01-01 00:00:00.000000000,1.3326162238243986,1.3303651760791302
1970-01-01 00:00:00.000000000,1.3166856116780499,1.3286396558031517
1970-01-01 00:00:00.000000000,1.3205642733316694,1.3298246937252385
1970-01-01 00:00:00.000000000,1.3396286798960373,1.3281991650698035
1970-01-01 00:00:00.000000000,1.3396286798960373,1.327286431844657
1970-01-01 00:00:00.000000000,1.324488580547224,1.3225283149411025
1970-01-01 00:00:00.000000000,1.3121219455523179,1.310947190764055
1970-01-01 00:00:00.000000000,1.2967736888138963,1.2944319557588522
1970-01-01 00:00:00.000000000,1.2817230590107989,1.2748804440219224
1970-01-01 00:00:00.000000000,1.2570525048700234,1.24437621358681
1970-01-01 00:00:00.000000000,1.2267310218625762,1.2233801970825575
1970-01-01 00:00:00.000000000,1.1596007933767551,1.242188560913953
1970-01-01 00:00:00.000000000,1.191793606292633,1.2659310355735038
1970-01-01 00:00:00.000000000,1.3757648781677776,1.2928096647485547
1970-01-01 00:00:00.000000000,1.3757648781677776,1.3399662697064376
1970-01-01 00:00:00.000000000,1.3611241677378298,1.3850883414480717
1970-01-01 00:00:00.000000000,1.3953838181661704,1.3986047961323107
1970-01-01 00:00:00.000000000,1.4174039650008037,1.4155264000157
1970-01-01 00:00:00.000000000,1.4433471515889722,1.4364980875934705
1970-01-01 00:00:00.000000000,1.460372897584723,1.4507692402644092
1970-01-01 00:00:00.000000000,1.4659826056266834,1.4576505660056571
1970-01-01 00:00:00.000000000,1.4667395815208641,1.4637763866672504
1970-01-01 00:00:00.000000000,1.451810593707044,1.466497058129693
1970-01-01 00:00:00.000000000,1.4739762548969368,1.468774326028019
1970-01-01 00:00:00.000000000,1.4739762548969368,1.4691645924648717
1970-01-01 00:00:00.000000000,1.477368945118314,1.4645705615149445
1970-01-01 00:00:00.000000000,1.468690913705127,1.4514880010555267
1970-01-01 00:00:00.000000000,1.4288404389574085,1.4400854811050066
1970-01-01 00:00:00.000000000,1.4085634525998465,1.4322628697253785
1970-01-01 00:00:00.000000000,1.4169636551443372,1.444940678734131
1970-01-01 00:00:00.000000000,1.4382558882201735,1.4727765449993544
1970-01-01 00:00:00.000000000,1.5320799587488898,1.4921109604279394
1970-01-01 00:00:00.000000000,1.5680197702835255,1.5097653353476261
1970-01-01 00:00:00.000000000,1.5052355297427709,1.5243289819594508
1970-01-01 00:00:00.000000000,1.5052355297427709,1.518673093946854
1970-01-01 00:00:00.000000000,1.511074121279297,1.5019357766144532
1970-01-01 00:00:00.000000000,1.5038005186859063,1.4945234097551288
1970-01-01 00:00:00.000000000,1.484333183621521,1.4783359885638248
1970-01-01 00:00:00.000000000,1.4681736954461486,1.4549286247533417
1970-01-01 00:00:00.000000000,1.4242984237862513,1.438101189090829
1970-01-01 00:00:00.000000000,1.3940373022268808,1.4320049084897033
1970-01-01 00:00:00.000000000,1.4196633403733436,1.4447428183102613
1970-01-01 00:00:00.000000000,1.453851780615892,1.4662557824627986
1970-01-01 00:00:00.000000000,1.5318632445489382,1.5040331605678494
1970-01-01 00:00:00.000000000,1.5318632445489382,1.5422731170285378
1970-01-01 00:00:00.000000000,1.5829241927521358,1.569132167604424
