time,gFx,gFy,gFz
2025-11-18 20:30:17.5980,0.055,-0.518,-0.968,1.099
2025-11-18 20:30:17.5980,0.055,-0.518,-0.968,1.099
2025-11-18 20:30:17.6050,0.077,-0.507,-0.914,1.048
2025-11-18 20:30:17.6150,0.1,-0.504,-0.854,0.997
2025-11-18 20:30:17.6250,0.103,-0.522,-0.805,0.965
2025-11-18 20:30:17.6350,0.09,-0.541,-0.772,0.947
2025-11-18 20:30:17.6450,0.069,-0.549,-0.773,0.951
2025-11-18 20:30:17.6550,0.061,-0.55,-0.8,0.973
2025-11-18 20:30:17.6640,0.069,-0.544,-0.841,1.004
2025-11-18 20:30:17.6810,0.085,-0.531,-0.876,1.028
2025-11-18 20:30:17.6960,0.132,-0.495,-0.896,1.032
2025-11-18 20:30:17.6960,0.132,-0.495,-0.896,1.032
2025-11-18 20:30:17.7040,0.152,-0.479,-0.889,1.021
2025-11-18 20:30:17.7140,0.173,-0.472,-0.878,1.012
2025-11-18 20:30:17.7240,0.192,-0.475,-0.865,1.005
2025-11-18 20:30:17.7350,0.2,-0.484,-0.849,0.998
2025-11-18 20:30:17.7440,0.203,-0.492,-0.83,0.986
2025-11-18 20:30:17.7550,0.206,-0.501,-0.814,0.978
2025-11-18 20:30:17.7640,0.208,-0.507,-0.803,0.972
2025-11-18 20:30:17.7810,0.212,-0.511,-0.786,0.961
2025-11-18 20:30:17.7980,0.214,-0.514,-0.76,0.942
2025-11-18 20:30:17.7990,0.214,-0.514,-0.76,0.942
2025-11-18 20:30:17.8040,0.216,-0.514,-0.743,0.929
2025-11-18 20:30:17.8140,0.222,-0.521,-0.73,0.924
2025-11-18 20:30:17.8240,0.217,-0.526,-0.722,0.919
2025-11-18 20:30:17.8350,0.211,-0.525,-0.713,0.91
2025-11-18 20:30:17.8440,0.213,-0.527,-0.711,0.91
2025-11-18 20:30:17.8540,0.214,-0.533,-0.72,0.921
2025-11-18 20:30:17.8640,0.209,-0.539,-0.734,0.934
2025-11-18 20:30:17.8800,0.205,-0.541,-0.75,0.947
2025-11-18 20:30:17.8980,0.208,-0.548,-0.794,0.987
2025-11-18 20:30:17.8990,0.208,-0.548,-0.794,0.987
2025-11-18 20:30:17.9030,0.215,-0.543,-0.808,0.997
2025-11-18 20:30:17.9130,0.228,-0.536,-0.814,1.001
2025-11-18 20:30:17.9230,0.241,-0.527,-0.815,1.0
2025-11-18 20:30:17.9350,0.256,-0.521,-0.808,0.995
2025-11-18 20:30:17.9430,0.263,-0.515,-0.792,0.981
2025-11-18 20:30:17.9530,0.259,-0.508,-0.773,0.961
2025-11-18 20:30:17.9630,0.252,-0.504,-0.754,0.941
2025-11-18 20:30:17.9800,0.244,-0.499,-0.739,0.924
2025-11-18 20:30:17.9980,0.215,-0.487,-0.732,0.905
2025-11-18 20:30:17.9980,0.215,-0.487,-0.732,0.905
2025-11-18 20:30:18.0030,0.203,-0.485,-0.742,0.909
2025-11-18 20:30:18.0130,0.185,-0.483,-0.761,0.92
2025-11-18 20:30:18.0230,0.203,-0.472,-0.785,0.938
2025-11-18 20:30:18.0350,0.22,-0.469,-0.822,0.972
2025-11-18 20:30:18.0430,0.221,-0.443,-0.865,0.997
2025-11-18 20:30:18.0530,0.22,-0.441,-0.911,1.036
2025-11-18 20:30:18.0630,0.232,-0.428,-0.952,1.069
